Scene	Object	Component	Field	Clip
Assets/Scenes/MainMenu.unity	MainMenuManager	MainMenuManager	menuMusicClip	EMPTY
Assets/Scenes/HospitalRoom.unity	HospitalRoomBGM	AudioSource	clip	Assets/Resources/Audio/Hospital/WhispersOfNight.mp3
Assets/Scenes/HospitalRoom.unity	HospitalRoomBGM	SceneBackgroundMusic	music	Assets/Resources/Audio/Hospital/WhispersOfNight.mp3
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	footsteps	Assets/Audio/Player_Footsteps.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	flashlightOn	Assets/Audio/Flashlight_On.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	flashlightOff	Assets/Audio/Flashlight_Off.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	shotClips.Array.data[0]	Assets/Audio/LightShot_1.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	shotClips.Array.data[1]	Assets/Audio/LightShot_2.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	shotClips.Array.data[2]	Assets/Audio/LightShot_3.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	dashClip	Assets/Audio/Player_Dash.wav
Assets/Scenes/BadDream_Stage1.unity	Player2D	PlayerSounds2D	hurtClip	Assets/Audio/Player_Hurt.wav
Assets/Scenes/BadDream_Stage1.unity	BGM	AudioSource	clip	Assets/Audio/BGM_Stage1_2.mp3
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	footsteps	Assets/Audio/Player_Footsteps.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	flashlightOn	Assets/Audio/Flashlight_On.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	flashlightOff	Assets/Audio/Flashlight_Off.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	shotClips.Array.data[0]	Assets/Audio/LightShot_1.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	shotClips.Array.data[1]	Assets/Audio/LightShot_2.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	shotClips.Array.data[2]	Assets/Audio/LightShot_3.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	dashClip	Assets/Audio/Player_Dash.wav
Assets/Scenes/BadDream_stage2.unity	Player2D	PlayerSounds2D	hurtClip	Assets/Audio/Player_Hurt.wav
Assets/Scenes/BadDream_stage2.unity	BGM	AudioSource	clip	Assets/Audio/BGM_Stage1_2.mp3
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	footsteps	Assets/Audio/Player_Footsteps.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	flashlightOn	Assets/Audio/Flashlight_On.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	flashlightOff	Assets/Audio/Flashlight_Off.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	shotClips.Array.data[0]	Assets/Audio/LightShot_1.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	shotClips.Array.data[1]	Assets/Audio/LightShot_2.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	shotClips.Array.data[2]	Assets/Audio/LightShot_3.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	dashClip	Assets/Audio/Player_Dash.wav
Assets/Scenes/BadDream_Stage3.unity	Player2D	PlayerSounds2D	hurtClip	Assets/Audio/Player_Hurt.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	TentacleStrikeField2D	tentacleRiseClip	Assets/Audio/Tentacle_Rise.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	TentacleStrikeField2D	tentacleHitClips.Array.data[0]	Assets/Audio/Tentacle_Hit_1.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	TentacleStrikeField2D	tentacleHitClips.Array.data[1]	Assets/Audio/Tentacle_Hit_2.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	TentacleStrikeField2D	tentacleHitClips.Array.data[2]	Assets/Audio/Tentacle_Hit_3.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	BossSounds2D	shotClips.Array.data[0]	Assets/Audio/Boss_Shot_1.wav
Assets/Scenes/BadDream_Stage3.unity	Boss	BossSounds2D	shotClips.Array.data[1]	Assets/Audio/Boss_Shot_2.wav
Assets/Scenes/BadDream_Stage3.unity	Stage3BossIntro	Stage3BossIntroCutscene	tentacleRiseClip	Assets/Audio/Tentacle_Rise.wav
Assets/Scenes/BadDream_Stage3.unity	Stage3BossIntro	Stage3BossIntroCutscene	monsterSummonClip	Assets/Audio/Monster_Summon.wav
Assets/Scenes/BadDream_Stage3.unity	HiddenFlyer_Approach	MonsterSounds2D	noticeClip	EMPTY
Assets/Scenes/BadDream_Stage3.unity	HiddenFlyer_Approach	MonsterSounds2D	moveClip	Assets/Audio/NightLight_Move.wav
Assets/Scenes/BadDream_Stage3.unity	Crow_Arena	MonsterSounds2D	noticeClip	Assets/Audio/Crow_Notice.wav
Assets/Scenes/BadDream_Stage3.unity	Crow_Arena	MonsterSounds2D	moveClip	EMPTY
Assets/Scenes/BadDream_Stage3.unity	BossMusic	BossMusic2D	phase1Clip	Assets/Audio/BGM_Boss_Phase1.mp3
Assets/Scenes/BadDream_Stage3.unity	BossMusic	BossMusic2D	phase2Clip	Assets/Audio/BGM_Boss_Phase2.mp3
