frame,error_metres,boss_scale
5594,0.000000,1.6000
5595,0.000000,1.6000
5596,0.000000,1.6000
5597,0.000000,1.6000
5598,0.000000,1.6000
5599,0.000000,1.6000
5600,0.000000,1.6000
5601,0.000000,1.6000
5602,0.000000,1.6000
5603,0.000000,1.6000
5604,0.000000,1.6000
5605,0.000000,1.6000
5606,0.000000,1.6000
5607,0.000000,1.6000
5608,0.000000,1.6000
5609,0.000000,1.6000
5610,0.000000,1.6000
5611,0.000000,1.6000
5612,0.000000,1.6000
5613,0.000000,1.6000
5614,0.000000,1.6000
5615,0.000000,1.6000
5616,0.000000,1.6000
5617,0.000000,1.6000
5618,0.000000,1.6000
5619,0.000000,1.6000
5620,0.000000,1.6000
5621,0.000000,1.6000
5622,0.000000,1.6000
5623,0.000000,1.6000
5624,0.000000,1.6000
5625,0.000000,1.6000
5626,0.000000,1.6000
5627,0.000000,1.6000
5628,0.000000,1.6000
5629,0.000000,1.6000
5630,0.000000,1.6000
5631,0.000000,1.6000
5632,0.000000,1.6000
5633,0.000000,1.6000
5634,0.000000,1.6000
5635,0.000000,1.6000
5636,0.000000,1.6000
5637,0.000000,1.6000
5638,0.000000,1.6000
5639,0.000000,1.6000
5640,0.000000,1.6000
5641,0.000000,1.6000
5642,0.000000,1.6000
5643,0.000000,1.6000
5644,0.000000,1.6000
5645,0.000000,1.6000
5646,0.000000,1.6000
5647,0.000000,1.6000
5648,0.000000,1.6000
5649,0.000000,1.6000
5650,0.000000,1.6000
5651,0.000000,1.6000
5652,0.000000,1.6000
5653,0.000000,1.6000
5654,0.000000,1.6000
5655,0.000000,1.6000
5656,0.000000,1.6000
5657,0.000000,1.6000
5658,0.000000,1.6000
5659,0.000000,1.6000
5660,0.000000,1.6000
5661,0.000000,1.6000
5662,0.000000,1.6000
5663,0.000000,1.6000
5664,0.000000,1.6000
5665,0.000000,1.6000
5666,0.000000,1.6000
5667,0.000000,1.6000
5668,0.000000,1.6000
5669,0.000000,1.6000
5670,0.000000,1.6000
5671,0.000000,1.6000
5672,0.000000,1.6000
5673,0.000000,1.6000
5674,0.000000,1.6000
5675,0.000000,1.6000
5676,0.000000,1.6000
5677,0.000000,1.6000
5678,0.000000,1.6000
5679,0.000000,1.6000
5680,0.000000,1.6000
5681,0.000000,1.6000
5682,0.000000,1.6000
5683,0.000000,1.6000
5684,0.000000,1.6000
5685,0.000000,1.6000
5686,0.000000,1.6000
5687,0.000000,1.6000
5688,0.000000,1.6000
5689,0.000000,1.6000
5690,0.000000,1.6000
5691,0.000000,1.6000
5692,0.000000,1.6000
5693,0.000000,1.6000
5694,0.000000,1.6000
5695,0.000000,1.6000
5696,0.000000,1.6000
5697,0.000000,1.6000
5698,0.000000,1.6000
5699,0.000000,1.6000
5700,0.000000,1.6000
5701,0.000000,1.6000
5702,0.000000,1.6000
5703,0.000000,1.6000
5704,0.000000,1.6000
5705,0.000000,1.6000
5706,0.000000,1.6000
5707,0.000000,1.6000
5708,0.000000,1.6000
5709,0.000000,1.6000
5710,0.000000,1.6000
5711,0.000000,1.6000
5712,0.000000,1.6000
5713,0.000000,1.6000
5714,0.000000,1.6000
5715,0.000000,1.6000
5716,0.000000,1.6000
5717,0.000000,1.6000
5718,0.000000,1.6000
5719,0.000000,1.6000
5720,0.000000,1.6000
5721,0.000000,1.6000
5722,0.000000,1.6000
5723,0.000000,1.6000
5724,0.000000,1.6000
5725,0.000000,1.6000
5726,0.000000,1.6000
5727,0.000000,1.6000
5728,0.000000,1.6000
5729,0.000000,1.6000
5730,0.000000,1.6000
5731,0.000000,1.6000
5732,0.000000,1.6000
5733,0.000000,1.6000
5734,0.000000,1.6000
5735,0.000000,1.6000
5736,0.000000,1.6000
5737,0.000000,1.6000
5738,0.000000,1.6000
5739,0.000000,1.6000
5740,0.000000,1.6000
5741,0.000000,1.6000
5742,0.000000,1.6000
5743,0.000000,1.6000
5744,0.000000,1.6000
5745,0.000000,1.6000
5746,0.000000,1.6000
5747,0.000000,1.6000
5748,0.000000,1.6000
5749,0.000000,1.6000
5750,0.000000,1.6000
5751,0.000000,1.6000
