path,extension,bytes,width,height,alpha_min,alpha_max,sha256
00_docs/asset-inventory.csv,.csv,91415,,,,,6a22e24429c01a3f8479d5b6eaacd370113fc0b277b7dc9c61c4f0494ac12b3b
00_docs/BACKGROUND-GENERATION-NOTES.md,.md,3035,,,,,a01b3935c976e6585680cef00f949a70222c9a483b1e5e11f678ac4895c127b1
00_docs/generation-metadata.json,.json,342,,,,,f623ddfe42485ea7599b3cd79e45fe91ce6321fd68e3a0adc2669e35a870d8ae
00_docs/IMAGEGEN-PROMPTS.md,.md,3310,,,,,445062c91a93941cc55b7a96a93517c50a8cea031787d8b82e3a8f128854bcfc
00_docs/README.md,.md,1663,,,,,4a8e3b00c99eeabc7294727f8961f4ebf10370001c6c6e69aff131f1fa5382bb
01_player/concept/player-concept-01.png,.png,473253,667,1430,0,255,cfac0d4963ad08bd9c6ea81e0be0d778f9e65733c095b1d53b7e33b368b75834
01_player/concept/player-concept-02.png,.png,1419592,641,1314,0,254,9afbcfa7a68317ccb6f001c9f55f2612dfd04e6a94149df594a3b0d7296b2aae
01_player/idle/metadata.json,.json,235,,,,,435c3bfd7cfeda9ad8c508b3f81b5c8c998763a43e3ef26367c18ce665ef5669
01_player/idle/opaque_navy/frames/player-idle-frame-01.png,.png,80949,512,512,255,255,530f199ccc080e02f05aa3fbf171f5e1b5b6afe42260b561c1c2f4a11c979d53
01_player/idle/opaque_navy/frames/player-idle-frame-02.png,.png,81260,512,512,255,255,c11b1407cc7b01f8a307676cc0cf8d9ef9d348f20879b10de088a2d880582e8d
01_player/idle/opaque_navy/frames/player-idle-frame-03.png,.png,80241,512,512,255,255,eb278b23d61e12df3e520a437e2f3c2006b32ea562de6f399c31e34ec699a467
01_player/idle/opaque_navy/frames/player-idle-frame-04.png,.png,81953,512,512,255,255,2fa08645a9b373de7c34889c9d76abebe9cf66752194205289a00fd6ea3b8509
01_player/idle/opaque_navy/frames/player-idle-frame-05.png,.png,82528,512,512,255,255,3b9bac2bc5965c24de4650c7e2dbfc5b94fff8a34f1dc20972f2c73c8f4e0eae
01_player/idle/opaque_navy/frames/player-idle-frame-06.png,.png,82050,512,512,255,255,50e8cb8d1844d820741c5ff6670e9aa3693863414d6173ad62423a1fbf01ac58
01_player/idle/opaque_navy/player-idle-sheet.png,.png,490073,2048,1024,255,255,51c079bb24751e8d36717696408755bc2200cef1bbec10e7c18480d366bce983
01_player/idle/opaque_navy/player-idle.gif,.gif,328595,512,512,255,255,50e2a2eeca42f4ad140eab5b3f2812af506604149017e90069d39e2e4bc7c16f
01_player/idle/transparent/frames/player-idle-frame-01.png,.png,92180,512,512,0,255,89cba55dcd6653f6271a87698c88dc1bfc6706ca347eae04cd96849592d6532a
01_player/idle/transparent/frames/player-idle-frame-02.png,.png,92553,512,512,0,255,effc306a1068417cccb7329180c9bb9df3b4d9ad1054bf2ea42c10011305e5d8
01_player/idle/transparent/frames/player-idle-frame-03.png,.png,91457,512,512,0,255,6abc92297f7c20ae088f54ab6155f390213c5e2df7105d3157004dab1137fb1b
01_player/idle/transparent/frames/player-idle-frame-04.png,.png,93383,512,512,0,255,da696e57593b420ee1b60f5e1a01103ff4a09de2cb98a6e8250d14de9ca18157
01_player/idle/transparent/frames/player-idle-frame-05.png,.png,94114,512,512,0,255,a7dbd00bdb1fc3e37581186d59a0afff6d86d6452bd9544191ca347125b37359
01_player/idle/transparent/frames/player-idle-frame-06.png,.png,93326,512,512,0,255,4970e00edeccdb3b26591237e619237776406251029b9443f0701cfb8cfe8e8b
01_player/idle/transparent/player-idle-sheet.png,.png,561841,2048,1024,0,255,f19dce0f4108f5c25db6f381378b1eaf5fd13b1afc1e3a5b70fc58724ea6a133
01_player/idle/transparent/player-idle.gif,.gif,98148,512,512,255,255,ee73bb6506619459af98df10ade5610702054dca7a170be391032bdd566ad252
01_player/jump/metadata.json,.json,236,,,,,8b7a610aadb36c8afb9d97ece395d5ca64a517eb3588c35da5b9a1c588b44d77
01_player/jump/opaque_navy/frames/player-jump-frame-01.png,.png,86277,512,512,255,255,936518bdd475e6caf48e6de3519000ab1206c9b8aa2f47747d46a9409643e441
01_player/jump/opaque_navy/frames/player-jump-frame-02.png,.png,89497,512,512,255,255,21a46cd77a9f07466349d85d2deafbd15f9085a6d84548c65bfef61882a5971c
01_player/jump/opaque_navy/frames/player-jump-frame-03.png,.png,86202,512,512,255,255,b34239146d637d177a068eaa7bcc8a3f5615e6edd19706c31be8130f0937da57
01_player/jump/opaque_navy/frames/player-jump-frame-04.png,.png,81119,512,512,255,255,848a28d5d643ac48b01dcaf69768575d89641765ac743485e7b945fe8639f480
01_player/jump/opaque_navy/frames/player-jump-frame-05.png,.png,86396,512,512,255,255,8c218d0b7330834cd8d76b2a146688b786183ee7fed599f40957d8ddecdbf1e4
01_player/jump/opaque_navy/frames/player-jump-frame-06.png,.png,84377,512,512,255,255,02e41811be0f8f193f5ecc2c650c40b6440f1c5fee84759b90642a58731c8964
01_player/jump/opaque_navy/player-jump-sheet.png,.png,517235,2048,1024,255,255,98cccfb96ccb7dcfc5dc6679913907a9fb810dbf606fdd4e7d55d39a0fdab038
01_player/jump/opaque_navy/player-jump.gif,.gif,325317,512,512,255,255,1fbc499696932f6cebccd605caf83fb287b9a79ba1717d9147380dddefbe0a4a
01_player/jump/transparent/frames/player-jump-frame-01.png,.png,98393,512,512,0,255,e2dbe3abc800a66bf9ea6513d33a4799eacf5f6d49a9af696730dc73f5406187
01_player/jump/transparent/frames/player-jump-frame-02.png,.png,102333,512,512,0,255,031162e6a3a725f0eefcc0c3b190597d7dc26460155a5dbee7c3762fdd20042d
01_player/jump/transparent/frames/player-jump-frame-03.png,.png,98413,512,512,0,255,7ef4ed99c39fc2175485c419fca408dabe010e34881bbf31487d7e35279995c5
01_player/jump/transparent/frames/player-jump-frame-04.png,.png,92674,512,512,0,255,20a679a09f1a0100eab3c98aa961ec2dff5a872a5ab70e6f98c1121440033dd2
01_player/jump/transparent/frames/player-jump-frame-05.png,.png,98903,512,512,0,255,97e628ec232bfcd6cc6048e1c167810298ec26a03bd191417e06f45b243393c8
01_player/jump/transparent/frames/player-jump-frame-06.png,.png,96086,512,512,0,255,0bea36b6249c9be250e05ece955c22c55e83c4af2510ae5df147f9a21df1d0c2
01_player/jump/transparent/player-jump-sheet.png,.png,595228,2048,1024,0,255,9b115c98979d7da49c6d77eb543ad3c81ff0d819e0322b7ddc6eb632e4ef2199
01_player/jump/transparent/player-jump.gif,.gif,84803,512,512,255,255,1a8914fd60ca8ed10dfe9645f0eb27a122bba3fda7120be6d383cf5d121b6b09
01_player/walk/metadata.json,.json,238,,,,,26d36b98bc49ca834891cdbe5f6070bf236d05fd1a0725ea2202b26e2e905aff
01_player/walk/opaque_navy/frames/player-walk-v7-frame-01.png,.png,90628,512,512,255,255,7fb054d7cae90fda31b3826873511592c0cfeac3a7091b24231d9b972c37e603
01_player/walk/opaque_navy/frames/player-walk-v7-frame-02.png,.png,85548,512,512,255,255,715be4c6b6f5901bffde09b16e415525f7b3cd91f1ee68bba6d7843e295a3c29
01_player/walk/opaque_navy/frames/player-walk-v7-frame-03.png,.png,74183,512,512,255,255,79f7aec7085976246d8a0f1d47d57c856287268eae0e6b1b10e7ecb77f0bd041
01_player/walk/opaque_navy/frames/player-walk-v7-frame-04.png,.png,83462,512,512,255,255,147d3d9a8c71945e5c9f43abd6821b0ac58b357d772ebf47d066cb7b08b0f43b
01_player/walk/opaque_navy/frames/player-walk-v7-frame-05.png,.png,87711,512,512,255,255,a7ce91f2ec92bb7af5a3c8c620b08cccbb748cbc37079a535c9b085db4cdf95d
01_player/walk/opaque_navy/frames/player-walk-v7-frame-06.png,.png,83677,512,512,255,255,2dc890e461d325415d4b7104cd70796705b744c3016ef849ef103b244207c57f
01_player/walk/opaque_navy/frames/player-walk-v7-frame-07.png,.png,73366,512,512,255,255,40b7f77c1e6a9358aff9d6890d00742e3bde2618258e383c14f6b6808abd8c00
01_player/walk/opaque_navy/frames/player-walk-v7-frame-08.png,.png,84240,512,512,255,255,b1d7570b50f5086d325cf2178a24ee478b9100d3ee64ba3e4d14a35a4d599214
01_player/walk/opaque_navy/player-walk-v7-sheet.png,.png,652919,2048,1024,255,255,461d78e0f54209a77c7de24b2c957035e341d47b4d86d167a5f6f32a02cc2427
01_player/walk/opaque_navy/player-walk-v7.gif,.gif,402431,512,512,255,255,176a4a8f24dc0960e9ac59b46e888cdc00a42bca8c1fdb8b8f339398accc0237
01_player/walk/transparent/frames/player-walk-v7-frame-01.png,.png,102391,512,512,0,255,2ae3b03477cd89707b3e175b9329bdf3a0e0a0aae19f45556aea913a2960ee4e
01_player/walk/transparent/frames/player-walk-v7-frame-02.png,.png,97059,512,512,0,255,8b4e4026854660f8a67ffff16931824705fcdb0ed0e734739d629c1a88e72ac8
01_player/walk/transparent/frames/player-walk-v7-frame-03.png,.png,84187,512,512,0,255,4f7ba074d75ae0bc5a46f86c57c9377586ab8b31c710ea1731b8ee22775c1840
