category,file,source,source_kind,width,height,alpha_min,alpha_max
memory_frames,01_final/memory_frames/final-memory-frames-01.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,347,434,0,255
memory_frames,01_final/memory_frames/final-memory-frames-02.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,358,430,0,255
memory_frames,01_final/memory_frames/final-memory-frames-03.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,405,422,0,255
memory_frames,01_final/memory_frames/final-memory-frames-04.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,417,424,0,255
memory_frames,01_final/memory_frames/final-memory-frames-05.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,356,420,0,255
memory_frames,01_final/memory_frames/final-memory-frames-06.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,324,418,0,255
memory_frames,01_final/memory_frames/final-memory-frames-07.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,396,420,0,255
memory_frames,01_final/memory_frames/final-memory-frames-08.png,C:\Ondukong\4Team-Project\output\chapter2-art\frame-contents\chapter2-frame-memory-inserts-v1.png,final-sheet,396,412,0,255
enemies,01_final/enemies/final-enemy-02.png,C:\Ondukong\4Team-Project\output\chapter2-art\enemy-concepts\chapter2-core-enemy-erased-scribble-final-v1.png,final-manual-region,287,358,0,255
enemies,01_final/enemies/final-enemy-03.png,C:\Ondukong\4Team-Project\output\chapter2-art\enemy-concepts\chapter2-core-enemy-erased-scribble-final-v1.png,final-manual-region,384,358,0,255
enemies,01_final/enemies/final-enemy-04.png,C:\Ondukong\4Team-Project\output\chapter2-art\enemy-concepts\chapter2-core-enemy-erased-scribble-final-v1.png,final-manual-region,546,415,0,255
