category,state,asset,path,frames,loop,notes
player,replaced,walk-v7,01_player/walk,8,true,"새 walk-cycle; 기존 walk 대체"
player,replaced,walk-flashlight-v9-outlined,01_player/walk_flashlight_outlined,8,true,"칼선 손전등 버전만 사용; 이전 무칼선 에셋 제외"
background,existing,background-01-existing-vortex,02_backgrounds/background-01-existing-vortex.png,,,"기존 소스 시트에서 분리한 순수 원경"
background,existing,background-02-existing-calm,02_backgrounds/background-02-existing-calm.png,,,"기존 소스 시트에서 분리한 순수 원경"
background,existing,background-03-existing-diagonal,02_backgrounds/background-03-existing-diagonal.png,,,"기존 소스 시트에서 분리한 순수 원경"
background,new,background-04-memory-frames-far,02_backgrounds/background-04-memory-frames-far.png,,,"희미한 액자 기억 원경; 맵·지형 없음"
background,new,background-05-fading-memory-texture,02_backgrounds/background-05-fading-memory-texture.png,,,"가독성 중심의 소멸 기억 원경; 맵·지형 없음"
boss,replaced,boss-dissolve-20f,03_boss/dissolve_20f,20,false,"수정된 최종 소멸; 17~20프레임 동생 보존"
supporting,retained,player-idle,04_supporting/player_idle,6,true,"기존 확정본 유지"
supporting,retained,player-jump,04_supporting/player_jump,6,false,"기존 확정본 유지"
supporting,retained,enemies,04_supporting/enemies,11,,"기존 확정본 유지"
supporting,retained,memory-frames,04_supporting/memory_frames,8,,"기존 확정본 유지"
supporting,retained,boss-concepts,04_supporting/boss_concepts,6,,"기존 확정본 유지"
